name,size,solver,solve time,error,run date
GraphColoring,50,z3,0.0767,,2026-05-21T09:51:38.118093
GraphColoring,60,z3,0.1808,,2026-05-21T09:51:39.237735
GraphColoring,72,z3,0.3722,,2026-05-21T09:51:39.991695
GraphColoring,86,z3,0.1895,,2026-05-21T09:51:40.598238
GraphColoring,103,z3,1.4874,,2026-05-21T09:51:42.525125
GraphColoring,123,z3,0.6715,,2026-05-21T09:51:43.593647
GraphColoring,147,z3,0.2302,,2026-05-21T09:51:44.245694
GraphColoring,176,z3,0.2943,,2026-05-21T09:51:44.945675
GraphColoring,211,z3,1.1433,,2026-05-21T09:51:46.499192
GraphColoring,253,z3,0.3397,,2026-05-21T09:51:47.258089
GraphColoring,303,z3,0.1402,,2026-05-21T09:51:47.821769
GraphColoring,363,z3,1.1282,,2026-05-21T09:51:49.380897
GraphColoring,435,z3,32.0768,"stderr : (error ""out of memory"")",2026-05-21T09:52:21.893341
datatype_define,50,z3,0.0267,,2026-05-21T09:52:21.922039
datatype_define,60,z3,0.1911,,2026-05-21T09:52:22.595799
datatype_define,72,z3,0.3354,,2026-05-21T09:52:23.429283
datatype_define,86,z3,0.4407,,2026-05-21T09:52:24.354334
datatype_define,103,z3,1.5758,,2026-05-21T09:52:26.427549
datatype_define,123,z3,0.6655,,2026-05-21T09:52:27.586989
datatype_define,147,z3,0.7521,,2026-05-21T09:52:28.810082
datatype_define,176,z3,2.7859,,2026-05-21T09:52:32.077756
datatype_define,211,z3,22.8267,,2026-05-21T09:52:55.391573
datatype_define,253,z3,0.1443,,2026-05-21T09:52:56.084890
datatype_define,303,z3,45.5584,"stderr : (error ""out of memory"")",2026-05-21T09:53:42.155883
int_assert,50,z3,0.0781,,2026-05-21T09:53:42.235497
int_assert,60,z3,0.2720,,2026-05-21T09:53:43.010119
int_assert,72,z3,0.5403,,2026-05-21T09:53:44.044068
int_assert,86,z3,0.5783,,2026-05-21T09:53:45.132340
int_assert,103,z3,2.2221,,2026-05-21T09:53:47.868233
int_assert,123,z3,3.1173,,2026-05-21T09:53:51.481332
int_assert,147,z3,0.4462,,2026-05-21T09:53:52.409092
int_assert,176,z3,4.5768,,2026-05-21T09:53:57.484463
int_assert,211,z3,10.6195,,2026-05-21T09:54:08.614690
int_assert,253,z3,1.8943,,2026-05-21T09:54:11.038054
int_assert,303,z3,64.2108,,2026-05-21T09:55:15.741648
int_assert,363,z3,29.8809,,2026-05-21T09:55:46.118502
int_assert,435,z3,46.1626,,2026-05-21T09:56:32.813512
int_assert,522,z3,1.8618,,2026-05-21T09:56:35.226317
int_assert,626,z3,15.2173,,2026-05-21T09:56:50.955793
int_assert,751,z3,202.3010,,2026-05-21T10:00:13.773592
int_assert,901,z3,14.7018,,2026-05-21T10:00:28.992725
int_assert,1081,z3,300.5202,Time out,2026-05-21T10:05:30.044982
datatype_assert,50,z3,0.0700,,2026-05-21T10:05:30.115871
datatype_assert,60,z3,0.3364,,2026-05-21T10:05:30.956899
datatype_assert,72,z3,0.4753,,2026-05-21T10:05:31.938270
datatype_assert,86,z3,0.1138,,2026-05-21T10:05:32.555986
datatype_assert,103,z3,1.8678,,2026-05-21T10:05:34.925452
datatype_assert,123,z3,3.5680,,2026-05-21T10:05:39.005434
datatype_assert,147,z3,1.0918,,2026-05-21T10:05:40.577920
datatype_assert,176,z3,0.5029,,2026-05-21T10:05:41.571523
