name,size,solver,solve time,error,run date
CommonItems,200000,idp3,0.9454,,2026-06-22T15:49:33.366665
CompleteSets,200000,idp3,34.0266,,2026-06-22T15:50:07.566775
GraphColoring,2500,idp3,4.3060,,2026-06-22T15:50:11.969657
N_queens,37,idp3,1.1341,,2026-06-22T15:50:13.105269
NonPartitionRemovalColoring,1,idp3,3.3740,,2026-06-22T15:50:16.497938
PackingProblem,1,idp3,0.5844,,2026-06-22T15:50:17.084625
PPM,1,idp3,2.6601,,2026-06-22T15:50:19.748437
QuasiGroup,1,idp3,23.0883,,2026-06-22T15:50:42.842368
RamseyNumbers,21,idp3,37.1610,,2026-06-22T15:51:20.004595
TGCheckSat,250,idp3,0.1889,,2026-06-22T15:51:20.194750
