file,successive,skeleton
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1191.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-190.smt2,2,(str.in_re (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-405.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-39.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1055.smt2,2,(str.in_re (str.++ var_5 var_6) (re.++ (re.* (re.union (str.to_re) (re.++ (str.to_re) (re.++ (re.* (re.union (str.to_re) (str.to_re))) (str.to_re))))) (re.++ (str.to_re) (re.* (re.union (str.to_re) (str.to_re))))))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1053.smt2,2,(str.in_re (str.++ var_3 var_4) (re.++ (re.* (re.union (str.to_re) (re.++ (str.to_re) (re.++ (re.* (re.union (str.to_re) (str.to_re))) (str.to_re))))) (re.++ (str.to_re) (re.* (re.union (str.to_re) (str.to_re))))))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1063.smt2,2,(str.in_re (str.++ var_8 var_9) (re.++ (re.* (re.union (str.to_re) (re.++ (str.to_re) (re.++ (re.* (re.union (str.to_re) (str.to_re))) (str.to_re))))) (re.++ (str.to_re) (re.* (re.union (str.to_re) (str.to_re))))))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-129.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-659.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-8.smt2,2,(str.in_re (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-794.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-541.smt2,2,(str.in_re (str.++) (re.* (str.to_re)))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_53.smt2,2,(= (str.++ B) (str.++ B))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_9.smt2,2,(= (str.++ H) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_78.smt2,2,(= (str.++ I) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_38.smt2,2,(= (str.++) (str.++ J))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_176.smt2,2,(= (str.++) (str.++ H))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_92.smt2,2,(= (str.++) (str.++ F))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_32.smt2,2,(= (str.++) (str.++ A))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_109.smt2,2,(= (str.++ A) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_166.smt2,2,(= (str.++ D) (str.++ D))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_96.smt2,2,(= (str.++ C) (str.++ C))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_67.smt2,2,(= (str.++ A A A) (str.++ A A A A A))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_59.smt2,2,(= (str.++ F) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_68.smt2,2,(= (str.++) (str.++ G))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_6.smt2,2,(= (str.++ H) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_127.smt2,2,(= (str.++ C C) (str.++ C C))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_147.smt2,2,(= (str.++ G) (str.++ C))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_70.smt2,2,(= (str.++ H) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_152.smt2,2,(= (str.++) (str.++ H))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_94.smt2,2,(= (str.++ F) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_82.smt2,2,(= (str.++) (str.++ I))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_170.smt2,2,(= (str.++) (str.++ E))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_52.smt2,2,(= (str.++ F F F) (str.++ F F F))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_158.smt2,2,(= (str.++ G) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_62.smt2,2,(= (str.++) (str.++ B))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_103.smt2,2,(= (str.++ E) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_65.smt2,2,(= (str.++ C) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_73.smt2,2,(= (str.++ H) (str.++))
non-incremental/QF_SLIA/20230329-woorpje-lu/track05/05_track_60.smt2,2,(= (str.++ B) (str.++ B))
