name,size,solver,solve time,error,run date
nunchaku1850496.nun,1,z3,0.0614,,2026-05-22T15:25:51.776472
nunchaku1850496.nun,1,xmt,0.0723,,2026-05-22T15:25:51.849861
nunchaku1988342.nun,1,z3,0.0163,,2026-05-22T15:25:51.866494
nunchaku1988342.nun,1,xmt,0.0194,,2026-05-22T15:25:51.886377
nunchaku2067302.nun,1,z3,1.8741,,2026-05-22T15:25:53.760774
nunchaku2067302.nun,1,xmt,31.4751,,2026-05-22T15:26:25.236435
nunchaku2545253.nun,1,z3,300.1198,Time out,2026-05-22T15:31:25.356686
nunchaku2545253.nun,1,xmt,300.0825,Time out,2026-05-22T15:36:25.440549
nunchaku2561553.nun,1,z3,0.0157,,2026-05-22T15:36:25.456587
nunchaku2561553.nun,1,xmt,0.0209,,2026-05-22T15:36:25.477922
x2015_09_10_16_45_59_076_995864.smt_in,1,z3,0.0398,,2026-05-22T15:36:25.518443
x2015_09_10_16_45_59_076_995864.smt_in,1,xmt,0.0674,,2026-05-22T15:36:25.586564
x2015_09_10_16_46_24_262_1043633.smt_in,1,z3,3.6311,,2026-05-22T15:36:29.222025
x2015_09_10_16_46_24_262_1043633.smt_in,1,xmt,8.3305,"stderr : thread 'main' (1065870) has overflowed its stack
fatal runtime error: stack overflow, aborting",2026-05-22T15:36:37.553177
x2015_09_10_16_46_26_992_1047954.smt_in,1,z3,0.0504,,2026-05-22T15:36:37.605017
x2015_09_10_16_46_26_992_1047954.smt_in,1,xmt,0.0711,,2026-05-22T15:36:37.676556
x2015_09_10_16_46_28_479_1049550.smt_in,1,z3,3.2374,,2026-05-22T15:36:40.915487
x2015_09_10_16_46_28_479_1049550.smt_in,1,xmt,300.1819,Time out,2026-05-22T15:41:41.098332
x2015_09_10_16_46_29_792_1051661.smt_in,1,z3,2.4076,,2026-05-22T15:41:43.516967
x2015_09_10_16_46_29_792_1051661.smt_in,1,xmt,300.2077,Time out,2026-05-22T15:46:43.725174
x2015_09_10_16_46_42_282_1005148.smt_in,1,z3,300.1414,Time out,2026-05-22T15:51:43.868592
x2015_09_10_16_46_42_282_1005148.smt_in,1,xmt,300.0545,Time out,2026-05-22T15:56:43.923564
x2015_09_10_16_47_22_719_1028972.smt_in,1,z3,131.3324,"stderr : (error ""out of memory"")",2026-05-22T15:58:55.257251
x2015_09_10_16_47_22_719_1028972.smt_in,1,xmt,130.2145,,2026-05-22T16:01:05.483415
x2015_09_10_16_47_24_152_1049265.smt_in,1,z3,47.5839,"stderr : (error ""out of memory"")",2026-05-22T16:01:53.068601
x2015_09_10_16_47_24_152_1049265.smt_in,1,xmt,46.5155,,2026-05-22T16:02:39.584515
x2015_09_10_16_48_03_390_1089361.smt_in,1,z3,137.3661,"stderr : (error ""out of memory"")",2026-05-22T16:04:56.951850
x2015_09_10_16_48_03_390_1089361.smt_in,1,xmt,66.5156,,2026-05-22T16:06:03.467983
x2015_09_10_16_48_04_447_1090568.smt_in,1,z3,135.8944,"stderr : (error ""out of memory"")",2026-05-22T16:08:19.363653
x2015_09_10_16_48_04_447_1090568.smt_in,1,xmt,66.6100,,2026-05-22T16:09:25.974239
x2015_09_10_16_48_14_532_1082415.smt_in,1,z3,300.4723,Time out,2026-05-22T16:14:26.449676
x2015_09_10_16_48_14_532_1082415.smt_in,1,xmt,300.4083,Time out,2026-05-22T16:19:26.869852
x2015_09_10_16_48_43_630_1117226.smt_in,1,z3,258.7274,"stderr : (error ""out of memory"")",2026-05-22T16:23:45.608908
x2015_09_10_16_48_43_630_1117226.smt_in,1,xmt,112.3693,,2026-05-22T16:25:37.978782
x2015_09_10_16_48_44_790_1118401.smt_in,1,z3,268.4975,"stderr : (error ""out of memory"")",2026-05-22T16:30:06.488772
x2015_09_10_16_48_44_790_1118401.smt_in,1,xmt,106.5626,,2026-05-22T16:31:53.051963
x2015_09_10_16_48_46_982_1120899.smt_in,1,z3,62.0176,"stderr : (error ""out of memory"")",2026-05-22T16:32:55.071045
x2015_09_10_16_48_46_982_1120899.smt_in,1,xmt,54.3201,,2026-05-22T16:33:49.391706
x2015_09_10_16_50_07_909_1170270.smt_in,1,z3,0.0437,,2026-05-22T16:33:49.435823
x2015_09_10_16_50_07_909_1170270.smt_in,1,xmt,0.0570,,2026-05-22T16:33:49.493158
x2015_09_10_16_50_13_766_1172962.smt_in,1,z3,0.0479,,2026-05-22T16:33:49.541416
x2015_09_10_16_50_13_766_1172962.smt_in,1,xmt,0.0521,,2026-05-22T16:33:49.593926
x2015_09_10_16_50_17_492_1174718.smt_in,1,z3,0.0246,,2026-05-22T16:33:49.618848
x2015_09_10_16_50_17_492_1174718.smt_in,1,xmt,0.0342,,2026-05-22T16:33:49.653498
x2015_09_10_16_50_40_638_1024664.smt_in,1,z3,0.0208,,2026-05-22T16:33:49.677538
x2015_09_10_16_50_40_638_1024664.smt_in,1,xmt,0.0467,,2026-05-22T16:33:49.724772
