name,size,solver,solve time,error,run date
int_define,50,z3,0.0292,,2026-05-20T12:36:42.743354
int_define,60,z3,0.1911,,2026-05-20T12:36:43.767115
int_define,72,z3,0.4254,,2026-05-20T12:36:44.641874
int_define,86,z3,0.1807,,2026-05-20T12:36:45.202464
int_define,103,z3,1.5469,,2026-05-20T12:36:47.143062
int_define,123,z3,0.6664,,2026-05-20T12:36:48.222784
int_define,147,z3,0.2420,,2026-05-20T12:36:48.904501
int_define,176,z3,0.3097,,2026-05-20T12:36:49.615119
int_define,211,z3,1.1989,,2026-05-20T12:36:51.221824
int_define,253,z3,0.3430,,2026-05-20T12:36:51.988616
int_define,303,z3,0.1357,,2026-05-20T12:36:52.546260
int_define,363,z3,1.1457,,2026-05-20T12:36:54.128381
int_define,435,z3,15.9467,"stderr : (error ""out of memory"")",2026-05-20T12:37:10.511239
datatype_define,50,z3,0.0288,,2026-05-20T12:37:10.540437
datatype_define,60,z3,0.1954,,2026-05-20T12:37:11.229726
datatype_define,72,z3,0.3557,,2026-05-20T12:37:12.039463
datatype_define,86,z3,0.4658,,2026-05-20T12:37:12.962357
datatype_define,103,z3,1.5728,,2026-05-20T12:37:14.995087
datatype_define,123,z3,0.7076,,2026-05-20T12:37:16.201546
datatype_define,147,z3,0.7568,,2026-05-20T12:37:17.430024
datatype_define,176,z3,2.8429,,2026-05-20T12:37:20.721862
datatype_define,211,z3,20.2427,Time out,2026-05-20T12:37:41.448624
int_assert,50,z3,0.0877,,2026-05-20T12:37:41.537695
int_assert,60,z3,0.2762,,2026-05-20T12:37:42.287913
int_assert,72,z3,0.5624,,2026-05-20T12:37:43.334398
int_assert,86,z3,0.5907,,2026-05-20T12:37:44.410279
int_assert,103,z3,2.2692,,2026-05-20T12:37:47.149508
int_assert,123,z3,3.2205,,2026-05-20T12:37:50.849861
int_assert,147,z3,0.4903,,2026-05-20T12:37:51.802022
int_assert,176,z3,4.6864,,2026-05-20T12:37:56.974085
int_assert,211,z3,11.3015,,2026-05-20T12:38:08.748735
int_assert,253,z3,1.8491,,2026-05-20T12:38:11.106769
int_assert,303,z3,20.0692,Time out,2026-05-20T12:38:31.643602
datatype_assert,50,z3,0.0621,,2026-05-20T12:38:31.706155
datatype_assert,60,z3,0.3424,,2026-05-20T12:38:32.530348
datatype_assert,72,z3,0.5099,,2026-05-20T12:38:33.525682
datatype_assert,86,z3,0.1040,,2026-05-20T12:38:34.138271
datatype_assert,103,z3,1.9031,,2026-05-20T12:38:36.551594
datatype_assert,123,z3,3.6521,,2026-05-20T12:38:40.688140
datatype_assert,147,z3,1.1277,,2026-05-20T12:38:42.304039
datatype_assert,176,z3,0.4983,,2026-05-20T12:38:43.282497
datatype_assert,211,z3,1.1685,,2026-05-20T12:38:44.945148
datatype_assert,253,z3,4.5652,,2026-05-20T12:38:50.053126
datatype_assert,303,z3,20.0593,Time out,2026-05-20T12:39:10.663497
grounded,50,z3,0.0274,,2026-05-20T12:39:10.691248
grounded,60,z3,0.0410,,2026-05-20T12:39:11.213247
grounded,72,z3,0.0305,,2026-05-20T12:39:11.750976
grounded,86,z3,0.0254,,2026-05-20T12:39:12.272535
grounded,103,z3,0.0328,,2026-05-20T12:39:12.871570
grounded,123,z3,0.0293,,2026-05-20T12:39:13.415459
grounded,147,z3,0.0261,,2026-05-20T12:39:13.986451
grounded,176,z3,0.0315,,2026-05-20T12:39:14.529240
grounded,211,z3,0.0574,,2026-05-20T12:39:15.092962
grounded,253,z3,0.0343,,2026-05-20T12:39:15.655326
grounded,303,z3,0.0352,,2026-05-20T12:39:16.235755
grounded,363,z3,0.0382,,2026-05-20T12:39:16.832869
grounded,435,z3,0.0416,,2026-05-20T12:39:17.386130
grounded,522,z3,0.0379,,2026-05-20T12:39:17.921982
grounded,626,z3,0.0472,,2026-05-20T12:39:18.456903
grounded,751,z3,0.0638,,2026-05-20T12:39:19.020260
grounded,901,z3,0.1014,,2026-05-20T12:39:19.632113
int_define_no_eq,50,z3,0.0401,,2026-05-20T12:39:20.147025
int_define_no_eq,60,z3,0.1749,,2026-05-20T12:39:20.789405
int_define_no_eq,72,z3,0.4024,,2026-05-20T12:39:21.659587
int_define_no_eq,86,z3,0.2142,,2026-05-20T12:39:22.340474
int_define_no_eq,103,z3,1.2527,,2026-05-20T12:39:24.101851
int_define_no_eq,123,z3,0.2184,,2026-05-20T12:39:24.813774
int_define_no_eq,147,z3,0.5162,,2026-05-20T12:39:25.789824
int_define_no_eq,176,z3,1.0582,,2026-05-20T12:39:27.307302
int_define_no_eq,211,z3,0.1309,,2026-05-20T12:39:27.899872
int_define_no_eq,253,z3,3.1678,,2026-05-20T12:39:31.550286
int_define_no_eq,303,z3,20.0540,Time out,2026-05-20T12:39:52.077440
datatype_define_no_eq,50,z3,0.0509,,2026-05-20T12:39:52.128814
datatype_define_no_eq,60,z3,0.2228,,2026-05-20T12:39:52.854032
datatype_define_no_eq,72,z3,0.2864,,2026-05-20T12:39:53.600047
datatype_define_no_eq,86,z3,0.2762,,2026-05-20T12:39:54.332169
