name,solver,solve time,error,run date
CommonItems,z3,300.2163,Time out,2026-04-29T13:41:10.067337
CommonItems,cvc5,78.5275,"stderr : cvc5 was terminated by the C++ runtime.
Perhaps an exception was thrown during stack unwinding.
terminate called after throwing an instance of 'St9bad_alloc'
  what():  std::bad_alloc",2026-04-29T13:42:28.594954
CommonItems,xmt,0.5214,,2026-04-29T13:42:29.144520
GraphColoring,z3,74.6831,"stderr : (error ""out of memory"")",2026-04-29T13:53:47.432752
GraphColoring,cvc5,300.1192,Time out,2026-04-29T13:58:47.552198
GraphColoring,xmt,0.5059,,2026-04-29T13:58:48.093148
NonPartitionRemovalColoring,z3,300.1985,Time out,2026-04-29T14:03:50.633564
NonPartitionRemovalColoring,cvc5,81.5132,,2026-04-29T14:05:12.147084
NonPartitionRemovalColoring,xmt,8.7649,,2026-04-29T14:05:20.914144
PackingProblem,z3,2.0427,,2026-04-29T14:05:22.959912
PackingProblem,cvc5,2.5832,stderr : Incorrect: unknown,2026-04-29T14:05:25.543218
PackingProblem,xmt,0.1727,,2026-04-29T14:05:25.726721
PPM,z3,34.3202,,2026-04-29T14:06:00.050268
PPM,cvc5,300.0947,Time out,2026-04-29T14:11:00.145176
PPM,xmt,16.2466,,2026-04-29T14:11:16.403528
QuasiGroup,z3,300.1127,Time out,2026-04-29T14:16:16.523687
QuasiGroup,cvc5,0.0339,stderr : Incorrect: unknown,2026-04-29T14:16:16.557727
QuasiGroup,xmt,56.3019,,2026-04-29T14:17:12.860910
TGCheckSat,z3,24.6811,,2026-04-29T14:17:37.544578
TGCheckSat,cvc5,2.4904,,2026-04-29T14:17:40.035134
TGCheckSat,xmt,0.0375,,2026-04-29T14:17:40.073800
N_queens,z3,4.2975,,2026-04-29T18:20:10.385076
N_queens,cvc5,0.0170,stderr : Incorrect: unknown,2026-04-29T18:20:10.402276
N_queens,xmt,2.2758,,2026-04-29T18:20:12.678587
CompleteSets,z3,300.2191,Time out,2026-04-30T12:32:33.082685
CompleteSets,cvc5,300.2463,Time out,2026-04-30T12:37:33.329217
CompleteSets,xmt,2.7300,,2026-04-30T12:37:36.090934
