name,size,solver,solve time,error,run date
CommonItems,200000,z3,300.2016,Time out,2026-04-30T13:07:53.508615
CommonItems,200000,cvc5,91.8966,"stderr : Incorrect: (error ""std::bad_alloc"")",2026-04-30T13:09:25.405475
CommonItems,200000,xmt,0.5089,,2026-04-30T13:09:25.942663
CompleteSets,200000,z3,300.2996,Time out,2026-04-30T13:14:26.377069
CompleteSets,200000,cvc5,300.2194,Time out,2026-04-30T13:19:26.596713
CompleteSets,200000,xmt,2.6923,,2026-04-30T13:19:29.333198
GraphColoring,2500,z3,72.9178,"stderr : (error ""out of memory"")",2026-04-30T13:20:42.328431
GraphColoring,2500,cvc5,300.1205,Time out,2026-04-30T13:25:42.449081
GraphColoring,2500,xmt,0.4991,,2026-04-30T13:25:42.968859
N_queens,37,z3,4.1579,,2026-04-30T13:25:47.132512
N_queens,37,cvc5,0.0174,stderr : Incorrect: unknown,2026-04-30T13:25:47.150063
N_queens,37,xmt,2.1925,,2026-04-30T13:25:49.342896
NonPartitionRemovalColoring,1,z3,300.2762,Time out,2026-04-30T13:30:49.626504
NonPartitionRemovalColoring,1,cvc5,80.2385,,2026-04-30T13:32:09.865089
NonPartitionRemovalColoring,1,xmt,8.4330,,2026-04-30T13:32:18.309618
QuasiGroup,1,z3,300.0618,Time out,2026-04-30T13:43:11.862216
QuasiGroup,1,cvc5,0.0338,stderr : Incorrect: unknown,2026-04-30T13:43:11.896180
QuasiGroup,1,xmt,57.3757,,2026-04-30T13:44:09.274032
TGCheckSat,250,z3,24.4520,,2026-04-30T13:44:33.737826
TGCheckSat,250,cvc5,2.2872,,2026-04-30T13:44:36.025100
TGCheckSat,250,xmt,0.0378,,2026-04-30T13:44:36.064537
PackingProblem,1,z3,18.4653,,2026-05-20T17:37:26.030815
PackingProblem,1,cvc5,0.0763,stderr : Incorrect: unknown,2026-05-20T17:37:26.107340
PackingProblem,1,xmt,0.1602,,2026-05-20T17:37:26.268200
PPM,1,z3,67.5030,,2026-05-21T09:13:06.065192
PPM,1,cvc5,1.7022,stderr : Incorrect: unknown,2026-05-21T09:13:07.768194
PPM,1,xmt,19.4842,,2026-05-21T09:13:27.253070
